DEBUG:root:BVHBuilder: prepare mesh, esc: True
DEBUG:root:BVHBuilder: build node. №84, primitives: 1
DEBUG:root:BVHBuilder: build node. №82, primitives: 0
DEBUG:root:BVHBuilder: build node. №72, primitives: 0
DEBUG:root:BVHBuilder: build node. №88, primitives: 1
DEBUG:root:BVHBuilder: build node. №89, primitives: 1
DEBUG:root:BVHBuilder: build node. №87, primitives: 0
DEBUG:root:BVHBuilder: build node. №91, primitives: 1
DEBUG:root:BVHBuilder: build node. №92, primitives: 1
DEBUG:root:BVHBuilder: build node. №90, primitives: 0
DEBUG:root:BVHBuilder: build node. №86, primitives: 0
DEBUG:root:BVHBuilder: build node. №95, primitives: 1
DEBUG:root:BVHBuilder: build node. №97, primitives: 1
DEBUG:root:BVHBuilder: build node. №98, primitives: 1
DEBUG:root:BVHBuilder: build node. №96, primitives: 0
DEBUG:root:BVHBuilder: build node. №94, primitives: 0
DEBUG:root:BVHBuilder: build node. №100, primitives: 1
DEBUG:root:BVHBuilder: build node. №102, primitives: 1
DEBUG:root:BVHBuilder: build node. №103, primitives: 1
DEBUG:root:BVHBuilder: build node. №101, primitives: 0
DEBUG:root:BVHBuilder: build node. №99, primitives: 0
DEBUG:root:BVHBuilder: build node. №93, primitives: 0
DEBUG:root:BVHBuilder: build node. №85, primitives: 0
DEBUG:root:BVHBuilder: build node. №71, primitives: 0
DEBUG:root:BVHBuilder: build node. №108, primitives: 1
DEBUG:root:BVHBuilder: build node. №110, primitives: 1
DEBUG:root:BVHBuilder: build node. №111, primitives: 1
DEBUG:root:BVHBuilder: build node. №109, primitives: 0
DEBUG:root:BVHBuilder: build node. №107, primitives: 0
DEBUG:root:BVHBuilder: build node. №113, primitives: 1
DEBUG:root:BVHBuilder: build node. №114, primitives: 1
DEBUG:root:BVHBuilder: build node. №112, primitives: 0
DEBUG:root:BVHBuilder: build node. №106, primitives: 0
DEBUG:root:BVHBuilder: build node. №117, primitives: 1
DEBUG:root:BVHBuilder: build node. №118, primitives: 1
DEBUG:root:BVHBuilder: build node. №116, primitives: 0
DEBUG:root:BVHBuilder: build node. №119, primitives: 1
DEBUG:root:BVHBuilder: build node. №115, primitives: 0
DEBUG:root:BVHBuilder: build node. №105, primitives: 0
DEBUG:root:BVHBuilder: build node. №123, primitives: 1
DEBUG:root:BVHBuilder: build node. №125, primitives: 1
DEBUG:root:BVHBuilder: build node. №126, primitives: 1
DEBUG:root:BVHBuilder: build node. №124, primitives: 0
DEBUG:root:BVHBuilder: build node. №122, primitives: 0
DEBUG:root:BVHBuilder: build node. №128, primitives: 1
DEBUG:root:BVHBuilder: build node. №129, primitives: 1
DEBUG:root:BVHBuilder: build node. №127, primitives: 0
DEBUG:root:BVHBuilder: build node. №121, primitives: 0
DEBUG:root:BVHBuilder: build node. №132, primitives: 1
DEBUG:root:BVHBuilder: build node. №133, primitives: 1
DEBUG:root:BVHBuilder: build node. №131, primitives: 0
DEBUG:root:BVHBuilder: build node. №135, primitives: 1
DEBUG:root:BVHBuilder: build node. №136, primitives: 1
DEBUG:root:BVHBuilder: build node. №134, primitives: 0
DEBUG:root:BVHBuilder: build node. №130, primitives: 0
DEBUG:root:BVHBuilder: build node. №120, primitives: 0
DEBUG:root:BVHBuilder: build node. №104, primitives: 0
DEBUG:root:BVHBuilder: build node. №70, primitives: 0
DEBUG:root:BVHBuilder: build node. №2, primitives: 0
DEBUG:root:BVHBuilder: build node. №143, primitives: 1
DEBUG:root:BVHBuilder: build node. №145, primitives: 1
DEBUG:root:BVHBuilder: build node. №146, primitives: 1
DEBUG:root:BVHBuilder: build node. №144, primitives: 0
DEBUG:root:BVHBuilder: build node. №142, primitives: 0
DEBUG:root:BVHBuilder: build node. №147, primitives: 1
DEBUG:root:BVHBuilder: build node. №141, primitives: 0
DEBUG:root:BVHBuilder: build node. №150, primitives: 1
DEBUG:root:BVHBuilder: build node. №152, primitives: 1
DEBUG:root:BVHBuilder: build node. №153, primitives: 1
DEBUG:root:BVHBuilder: build node. №151, primitives: 0
DEBUG:root:BVHBuilder: build node. №149, primitives: 0
DEBUG:root:BVHBuilder: build node. №154, primitives: 1
DEBUG:root:BVHBuilder: build node. №148, primitives: 0
DEBUG:root:BVHBuilder: build node. №140, primitives: 0
DEBUG:root:BVHBuilder: build node. №158, primitives: 1
DEBUG:root:BVHBuilder: build node. №159, primitives: 1
DEBUG:root:BVHBuilder: build node. №157, primitives: 0
DEBUG:root:BVHBuilder: build node. №161, primitives: 1
